"","Stream Nitrate","Stream Ammonium","Stream TN","Stream TP","Lake TN","Lake TP"
"Stream Nitrate",1,0.239717798692643,0.484624828558553,0.165878299602591,0.0962083746088109,-0.085122021483371
"Stream Ammonium",0.239717798692643,1,-0.209631578592887,0.172367960421199,0.174507953224445,-0.136160106681222
"Stream TN",0.484624828558553,-0.209631578592887,1,0.323174623142319,-0.0467156018370374,0.203303002672497
"Stream TP",0.165878299602591,0.172367960421199,0.323174623142319,1,-0.254256393009955,-0.0192237554090365
"Lake TN",0.0962083746088109,0.174507953224445,-0.0467156018370374,-0.254256393009955,1,0.604184119560102
"Lake TP",-0.085122021483371,-0.136160106681222,0.203303002672497,-0.0192237554090365,0.604184119560102,1
